item_idx,degree,degree_group,embedding_norm_mean,embedding_norm_std,dataset,log1p_degree
183,137,medium,2.7887065,0.058050547,MovieLens-1M,4.927253685157205
184,34,medium,2.6526387,0.03912183,MovieLens-1M,3.5553480614894135
185,140,medium,3.1508787,0.03645423,MovieLens-1M,4.948759890378168
186,5,low,2.7571533,0.08296625,MovieLens-1M,1.791759469228055
187,267,high,3.2455986,0.043870226,MovieLens-1M,5.5909869805108565
188,81,medium,3.0780704,0.10274142,MovieLens-1M,4.406719247264253
189,2,low,3.4967737,0.06711126,MovieLens-1M,1.0986122886681098
190,8,low,2.3752415,0.18948917,MovieLens-1M,2.1972245773362196
191,7,low,3.0459347,0.188624,MovieLens-1M,2.0794415416798357
192,75,medium,2.8413563,0.07007041,MovieLens-1M,4.330733340286331
193,63,medium,3.3156204,0.06333689,MovieLens-1M,4.1588830833596715
194,49,medium,2.5692422,0.095423065,MovieLens-1M,3.912023005428146
195,52,medium,3.0171182,0.1670155,MovieLens-1M,3.970291913552122
196,91,medium,2.8914776,0.048353054,MovieLens-1M,4.5217885770490405
197,148,medium,2.8116596,0.04451761,MovieLens-1M,5.003946305945459
198,9,low,2.8639495,0.079533994,MovieLens-1M,2.302585092994046
199,12,medium,2.5602424,0.016004825,MovieLens-1M,2.5649493574615367
200,20,medium,2.4108784,0.10705166,MovieLens-1M,3.044522437723423
201,1,low,3.4033177,0.1093227,MovieLens-1M,0.6931471805599453
202,95,medium,3.0945776,0.034936156,MovieLens-1M,4.564348191467836
203,23,medium,2.574125,0.14304057,MovieLens-1M,3.1780538303479458
204,106,medium,2.6651828,0.012942558,MovieLens-1M,4.672828834461906
205,139,medium,3.3926563,0.027623104,MovieLens-1M,4.941642422609304
206,12,medium,2.5740495,0.07680287,MovieLens-1M,2.5649493574615367
207,66,medium,2.6838453,0.13595246,MovieLens-1M,4.204692619390966
208,9,low,2.2274344,0.06280151,MovieLens-1M,2.302585092994046
209,1,low,3.5890992,0.030340394,MovieLens-1M,0.6931471805599453
210,177,medium,3.1336477,0.10671666,MovieLens-1M,5.181783550292085
211,995,high,4.3845997,0.026849661,MovieLens-1M,6.903747257584598
212,173,medium,2.754152,0.044311956,MovieLens-1M,5.159055299214529
213,96,medium,2.8032587,0.04968779,MovieLens-1M,4.574710978503383
214,25,medium,3.035262,0.08077197,MovieLens-1M,3.258096538021482
216,56,medium,2.446459,0.027895836,MovieLens-1M,4.04305126783455
217,178,medium,3.0058486,0.057743978,MovieLens-1M,5.187385805840755
218,287,high,3.4407594,0.013130056,MovieLens-1M,5.662960480135946
219,270,high,3.2239227,0.03253201,MovieLens-1M,5.602118820879701
220,135,medium,3.0865471,0.014424894,MovieLens-1M,4.912654885736052
221,22,medium,2.652751,0.06522721,MovieLens-1M,3.1354942159291497
222,582,high,3.6019707,0.052045353,MovieLens-1M,6.368187186350492
223,128,medium,3.1047466,0.035600066,MovieLens-1M,4.859812404361672
224,72,medium,2.7043617,0.026251841,MovieLens-1M,4.290459441148391
225,9,low,2.297843,0.07216646,MovieLens-1M,2.302585092994046
226,50,medium,3.111514,0.08993449,MovieLens-1M,3.9318256327243257
227,8,low,3.2798007,0.10109046,MovieLens-1M,2.1972245773362196
228,11,medium,2.7561512,0.14497215,MovieLens-1M,2.4849066497880004
229,47,medium,2.6541588,0.1286779,MovieLens-1M,3.871201010907891
230,3,low,3.4885604,0.19748938,MovieLens-1M,1.3862943611198906
231,581,high,3.7859075,0.028282812,MovieLens-1M,6.366470447731438
232,326,high,3.2766926,0.03320746,MovieLens-1M,5.7899601708972535
233,38,medium,2.520576,0.13224043,MovieLens-1M,3.6635616461296463
234,165,medium,2.787093,0.0952533,MovieLens-1M,5.111987788356544
235,5,low,2.8678634,0.07507826,MovieLens-1M,1.791759469228055
236,8,low,2.792269,0.041447718,MovieLens-1M,2.1972245773362196
237,142,medium,3.0250368,0.04839673,MovieLens-1M,4.962844630259907
238,391,high,3.4741879,0.040931787,MovieLens-1M,5.971261839790462
239,11,medium,2.7677727,0.067220375,MovieLens-1M,2.4849066497880004
240,7,low,3.3642075,0.10185643,MovieLens-1M,2.0794415416798357
241,47,medium,2.3976898,0.061869502,MovieLens-1M,3.871201010907891
242,50,medium,2.8657076,0.12696487,MovieLens-1M,3.9318256327243257
243,31,medium,3.3373272,0.106798455,MovieLens-1M,3.4657359027997265
244,28,medium,2.558337,0.05239818,MovieLens-1M,3.367295829986474
245,2587,high,5.2151847,0.053753454,MovieLens-1M,7.858640655620791
246,166,medium,3.244509,0.09167007,MovieLens-1M,5.117993812416755
247,118,medium,3.0495043,0.053088937,MovieLens-1M,4.77912349311153
248,23,medium,2.9925764,0.020342965,MovieLens-1M,3.1780538303479458
249,3,low,3.4518871,0.14486587,MovieLens-1M,1.3862943611198906
250,541,high,3.6848266,0.061994337,MovieLens-1M,6.295266001439646
251,341,high,3.5124996,0.04961327,MovieLens-1M,5.834810737062605
252,38,medium,2.7887194,0.19247857,MovieLens-1M,3.6635616461296463
253,26,medium,2.850437,0.25571042,MovieLens-1M,3.295836866004329
254,30,medium,2.3877404,0.14176129,MovieLens-1M,3.4339872044851463
255,28,medium,2.937664,0.06528191,MovieLens-1M,3.367295829986474
256,25,medium,2.7546806,0.12205865,MovieLens-1M,3.258096538021482
257,240,high,2.9252846,0.09398018,MovieLens-1M,5.484796933490655
258,72,medium,2.678254,0.07517694,MovieLens-1M,4.290459441148391
259,2,low,3.5677357,0.090001695,MovieLens-1M,1.0986122886681098
260,14,medium,2.5106504,0.1357161,MovieLens-1M,2.70805020110221
261,45,medium,2.7237327,0.08045435,MovieLens-1M,3.828641396489095
262,63,medium,3.0996351,0.14930809,MovieLens-1M,4.1588830833596715
263,7,low,2.6687114,0.15406111,MovieLens-1M,2.0794415416798357
264,30,medium,2.7274303,0.10896555,MovieLens-1M,3.4339872044851463
265,125,medium,2.9783373,0.14332534,MovieLens-1M,4.836281906951478
266,129,medium,2.576557,0.067706965,MovieLens-1M,4.867534450455582
267,90,medium,2.7910042,0.09627776,MovieLens-1M,4.51085950651685
268,7,low,3.3823292,0.066072896,MovieLens-1M,2.0794415416798357
269,4,low,3.2142007,0.23024866,MovieLens-1M,1.6094379124341003
270,299,high,3.1160305,0.014054626,MovieLens-1M,5.703782474656201
271,67,medium,2.843317,0.16675644,MovieLens-1M,4.219507705176107
272,118,medium,3.0756428,0.08666777,MovieLens-1M,4.77912349311153
273,5,low,2.8537931,0.06865235,MovieLens-1M,1.791759469228055
274,295,high,3.1762302,0.03314243,MovieLens-1M,5.69035945432406
275,721,high,3.6794815,0.021288844,MovieLens-1M,6.582025138892826
276,16,medium,2.5784063,0.092387766,MovieLens-1M,2.833213344056216
277,5,low,2.730116,0.12846957,MovieLens-1M,1.791759469228055
278,1738,high,4.707001,0.014917821,MovieLens-1M,7.461065514354283
279,13,medium,2.6020896,0.11180605,MovieLens-1M,2.6390573296152584
280,19,medium,2.8054693,0.1703496,MovieLens-1M,2.995732273553991
281,90,medium,3.3237936,0.07149241,MovieLens-1M,4.51085950651685
282,463,high,3.3100183,0.026807096,MovieLens-1M,6.139884552226255
283,19,medium,2.7405393,0.025576591,MovieLens-1M,2.995732273553991
284,57,medium,2.5832214,0.10405226,MovieLens-1M,4.060443010546419
285,125,medium,2.7989404,0.03254006,MovieLens-1M,4.836281906951478
286,13,medium,2.2078087,0.050530847,MovieLens-1M,2.6390573296152584
287,20,medium,2.591853,0.09736058,MovieLens-1M,3.044522437723423
288,269,high,3.245798,0.028355133,MovieLens-1M,5.598421958998375
289,189,medium,3.2332947,0.111518286,MovieLens-1M,5.247024072160486
290,146,medium,3.0860767,0.07395388,MovieLens-1M,4.990432586778736
291,32,medium,3.0343177,0.13964577,MovieLens-1M,3.4965075614664802
292,2,low,3.5624354,0.010815531,MovieLens-1M,1.0986122886681098
293,19,medium,2.3007634,0.09871572,MovieLens-1M,2.995732273553991
294,15,medium,3.346219,0.06185454,MovieLens-1M,2.772588722239781
295,199,medium,3.159259,0.059170265,MovieLens-1M,5.298317366548036
296,42,medium,2.9526432,0.081020795,MovieLens-1M,3.7612001156935624
297,579,high,3.8488836,0.060494706,MovieLens-1M,6.363028103540465
298,263,high,3.1668665,0.021770928,MovieLens-1M,5.575949103146316
299,2017,high,4.952433,0.02826865,MovieLens-1M,7.609862200913554
300,194,medium,2.9555256,0.08235351,MovieLens-1M,5.272999558563747
301,15,medium,2.6268666,0.112640314,MovieLens-1M,2.772588722239781
302,39,medium,2.7564318,0.092252515,MovieLens-1M,3.6888794541139363
303,123,medium,2.736429,0.05324749,MovieLens-1M,4.820281565605037
304,24,medium,2.7531192,0.03335037,MovieLens-1M,3.2188758248682006
305,8,low,3.1998265,0.039322637,MovieLens-1M,2.1972245773362196
306,49,medium,2.8635206,0.07485025,MovieLens-1M,3.912023005428146
307,91,medium,3.186879,0.07259354,MovieLens-1M,4.5217885770490405
308,56,medium,3.2673461,0.06362552,MovieLens-1M,4.04305126783455
309,454,high,3.7109134,0.043230683,MovieLens-1M,6.12029741895095
310,34,medium,2.8979042,0.055106025,MovieLens-1M,3.5553480614894135
311,5,low,3.1363666,0.1096752,MovieLens-1M,1.791759469228055
312,27,medium,2.7837093,0.12776083,MovieLens-1M,3.332204510175204
313,219,medium,3.22708,0.04143146,MovieLens-1M,5.393627546352362
314,77,medium,3.099803,0.1251348,MovieLens-1M,4.356708826689592
315,22,medium,2.8076646,0.13415429,MovieLens-1M,3.1354942159291497
316,6,low,3.0645945,0.24937811,MovieLens-1M,1.9459101490553132
317,466,high,3.3327677,0.120455086,MovieLens-1M,6.1463292576688975
318,54,medium,2.8526661,0.026933793,MovieLens-1M,4.007333185232471
319,337,high,3.5770547,0.09022465,MovieLens-1M,5.823045895483019
320,34,medium,2.4457178,0.1089617,MovieLens-1M,3.5553480614894135
321,19,medium,2.5636842,0.022091754,MovieLens-1M,2.995732273553991
322,319,high,3.1630974,0.033339337,MovieLens-1M,5.768320995793772
323,7,low,3.118305,0.1227987,MovieLens-1M,2.0794415416798357
324,312,high,3.5038006,0.15014479,MovieLens-1M,5.746203190540153
325,312,high,3.2793026,0.1103755,MovieLens-1M,5.746203190540153
326,66,medium,2.364037,0.069297574,MovieLens-1M,4.204692619390966
327,20,medium,2.7260287,0.15579996,MovieLens-1M,3.044522437723423
328,284,high,3.1918604,0.08501086,MovieLens-1M,5.652489180268651
329,680,high,3.8340998,0.049606178,MovieLens-1M,6.523562306149512
330,230,medium,3.2315776,0.053920254,MovieLens-1M,5.442417710521793
331,119,medium,3.084015,0.059104163,MovieLens-1M,4.787491742782046
332,42,medium,2.7050025,0.11033842,MovieLens-1M,3.7612001156935624
333,367,high,3.4299183,0.07527716,MovieLens-1M,5.908082938168931
334,25,medium,2.75221,0.06308056,MovieLens-1M,3.258096538021482
335,31,medium,3.2948494,0.0653692,MovieLens-1M,3.4657359027997265
336,1643,high,4.60264,0.003878926,MovieLens-1M,7.404887575616125
337,781,high,3.8900874,0.02526993,MovieLens-1M,6.661854740545311
338,53,medium,2.7546253,0.045931842,MovieLens-1M,3.9889840465642745
339,5,low,3.244462,0.16571127,MovieLens-1M,1.791759469228055
340,23,medium,2.869683,0.08643882,MovieLens-1M,3.1780538303479458
341,123,medium,2.8726485,0.040244136,MovieLens-1M,4.820281565605037
342,106,medium,2.7419612,0.049535166,MovieLens-1M,4.672828834461906
343,55,medium,3.0687037,0.12276233,MovieLens-1M,4.02535169073515
344,751,high,4.1565146,0.029795429,MovieLens-1M,6.62273632394984
345,29,medium,2.1344442,0.19079126,MovieLens-1M,3.4011973816621555
346,81,medium,3.2279642,0.066927105,MovieLens-1M,4.406719247264253
347,497,high,3.406305,0.04004012,MovieLens-1M,6.210600077024653
348,413,high,3.4501953,0.028592926,MovieLens-1M,6.025865973825314
349,23,medium,2.5434382,0.12301274,MovieLens-1M,3.1780538303479458
350,109,medium,2.9343956,0.14195001,MovieLens-1M,4.700480365792417
351,77,medium,2.4345658,0.08320084,MovieLens-1M,4.356708826689592
352,155,medium,2.9839818,0.09107774,MovieLens-1M,5.049856007249537
353,176,medium,2.9377925,0.0414916,MovieLens-1M,5.176149732573829
354,20,medium,3.1089725,0.033990305,MovieLens-1M,3.044522437723423
355,7,low,3.0499103,0.13400702,MovieLens-1M,2.0794415416798357
356,133,medium,2.6806395,0.042867407,MovieLens-1M,4.897839799950911
357,921,high,4.129748,0.083934836,MovieLens-1M,6.826545223556594
358,37,medium,2.86874,0.17851153,MovieLens-1M,3.6375861597263857
359,117,medium,2.9081547,0.053004224,MovieLens-1M,4.770684624465665
360,805,high,3.898613,0.04153997,MovieLens-1M,6.692083742506628
361,86,medium,2.8806388,0.10885178,MovieLens-1M,4.465908118654584
362,85,medium,2.6782906,0.024756683,MovieLens-1M,4.454347296253507
363,113,medium,3.0090525,0.10429914,MovieLens-1M,4.736198448394496
364,11,medium,2.8020353,0.15458669,MovieLens-1M,2.4849066497880004
365,4,low,3.1038532,0.10779827,MovieLens-1M,1.6094379124341003
366,9,low,2.4434774,0.0834029,MovieLens-1M,2.302585092994046
367,23,medium,2.7079484,0.08642041,MovieLens-1M,3.1780538303479458
368,59,medium,2.7149534,0.030665744,MovieLens-1M,4.0943445622221
369,13,medium,3.1544464,0.12414568,MovieLens-1M,2.6390573296152584
370,31,medium,2.713136,0.061031587,MovieLens-1M,3.4657359027997265
371,15,medium,2.776331,0.1999002,MovieLens-1M,2.772588722239781
372,8,low,2.632509,0.11886707,MovieLens-1M,2.1972245773362196
373,6,low,3.581824,0.014069111,MovieLens-1M,1.9459101490553132
374,9,low,3.019699,0.17319207,MovieLens-1M,2.302585092994046
375,1,low,3.6976376,0.18173535,MovieLens-1M,0.6931471805599453
376,2,low,3.8037777,0.12052388,MovieLens-1M,1.0986122886681098
377,1,low,3.158677,0.12852901,MovieLens-1M,0.6931471805599453
378,1,low,3.127313,0.13229218,MovieLens-1M,0.6931471805599453
379,2,low,3.8281858,0.05324856,MovieLens-1M,1.0986122886681098
380,22,medium,3.2667425,0.13507386,MovieLens-1M,3.1354942159291497
381,6,low,2.7305577,0.109548345,MovieLens-1M,1.9459101490553132
382,65,medium,3.0864725,0.026450176,MovieLens-1M,4.189654742026425
383,30,medium,2.7977946,0.27021766,MovieLens-1M,3.4339872044851463
384,15,medium,3.6866477,0.12632589,MovieLens-1M,2.772588722239781
385,134,medium,2.804549,0.13006428,MovieLens-1M,4.90527477843843
386,3,low,2.9703948,0.031418752,MovieLens-1M,1.3862943611198906
