item_idx,embedding_norm,degree,degree_group
488,0.7903222,26.0,medium
489,1.9647632,191.0,medium
490,2.5603814,319.0,high
491,1.4313871,62.0,medium
492,1.8556045,138.0,medium
493,0.77151185,26.0,medium
494,1.3796157,11.0,medium
495,1.9309509,121.0,medium
496,1.2811161,59.0,medium
497,1.1540335,47.0,medium
498,1.6739297,70.0,medium
499,2.2429183,264.0,high
500,0.98500544,9.0,low
501,1.9238505,2.0,low
502,4.195621,2041.0,high
503,0.61680025,11.0,medium
504,2.760294,520.0,high
505,1.8142523,1.0,low
506,2.2109387,213.0,medium
507,1.7826364,154.0,medium
508,1.3278658,46.0,medium
509,2.1665215,192.0,medium
510,2.3455503,201.0,medium
511,0.69308203,24.0,medium
512,1.1119556,65.0,medium
513,2.0923355,200.0,medium
514,3.348799,613.0,high
515,1.0319813,14.0,medium
516,4.013789,1455.0,high
517,1.5983293,51.0,medium
518,2.4254396,326.0,high
519,1.4075762,23.0,medium
520,1.2157667,24.0,medium
521,1.3109288,38.0,medium
522,1.5109864,21.0,medium
523,1.850041,100.0,medium
524,1.483348,58.0,medium
525,2.8568058,612.0,high
526,2.3569193,217.0,medium
527,2.3722575,364.0,high
528,0.90223134,5.0,low
529,2.751118,458.0,high
530,1.7369237,114.0,medium
531,2.2825725,2.0,low
532,0.9624359,33.0,medium
533,1.6878963,2.0,low
534,1.3979831,5.0,low
535,0.8851682,8.0,low
536,2.5314894,319.0,high
537,1.1270272,7.0,low
538,1.4264721,6.0,low
539,0.9586031,24.0,medium
540,1.4769794,3.0,low
541,1.8550136,7.0,low
542,1.3105555,27.0,medium
543,1.0740162,30.0,medium
544,1.4021719,10.0,medium
545,0.96565926,19.0,medium
546,1.9070925,1.0,low
547,1.3028431,10.0,medium
548,1.5445148,92.0,medium
549,1.4642663,29.0,medium
550,1.4603543,20.0,medium
551,1.5814669,2.0,low
552,0.82665974,26.0,medium
553,1.8639246,107.0,medium
554,1.2023722,16.0,medium
555,1.7331911,1.0,low
556,1.7513512,128.0,medium
557,2.4600582,254.0,high
558,2.9224699,588.0,high
559,3.39575,891.0,high
560,4.6054235,2020.0,high
561,3.3753214,993.0,high
562,3.1742089,811.0,high
563,4.432804,2219.0,high
564,2.9170444,502.0,high
565,3.2367094,719.0,high
566,2.4358997,314.0,high
567,3.5316284,621.0,high
568,1.0063728,6.0,low
569,2.3110602,208.0,medium
570,0.9838342,13.0,medium
571,1.2962244,29.0,medium
572,1.1280003,17.0,medium
573,1.9818107,93.0,medium
574,1.4775898,11.0,medium
575,4.4624043,2038.0,high
576,1.1128731,17.0,medium
577,2.772869,315.0,high
578,1.7183099,46.0,medium
579,0.8022163,10.0,medium
580,1.6098384,50.0,medium
581,1.988508,1.0,low
582,1.7159288,53.0,medium
583,1.8129834,131.0,medium
584,1.4698724,8.0,low
585,1.9851167,1.0,low
586,0.8597689,7.0,low
587,1.114538,24.0,medium
588,2.3119967,1.0,low
589,2.0384643,1.0,low
590,1.641576,4.0,low
591,1.3437905,66.0,medium
592,2.5626357,341.0,high
593,1.5067179,3.0,low
594,1.421917,11.0,medium
595,1.2030649,10.0,medium
596,1.1593401,11.0,medium
597,0.82649887,39.0,medium
598,1.2374429,31.0,medium
599,1.1737616,9.0,low
600,0.7348578,20.0,medium
601,0.954291,12.0,medium
602,1.6378633,10.0,medium
603,2.1080134,233.0,medium
604,3.1818066,746.0,high
605,1.4938982,12.0,medium
606,1.2531406,46.0,medium
607,1.911499,2.0,low
608,2.3269582,243.0,high
609,1.714616,9.0,low
610,1.298558,15.0,medium
611,2.2318416,266.0,high
612,1.0882195,42.0,medium
613,1.7515374,133.0,medium
614,1.601777,2.0,low
615,1.3275613,22.0,medium
616,1.8045045,1.0,low
617,1.519778,6.0,low
618,1.535838,37.0,medium
619,1.2657756,19.0,medium
620,1.7424217,48.0,medium
621,2.3223748,290.0,high
622,1.7846003,97.0,medium
623,1.8888582,135.0,medium
624,2.0651853,251.0,high
625,1.971708,1.0,low
626,1.4093996,29.0,medium
627,1.7305409,11.0,medium
628,1.6867386,3.0,low
629,1.2193666,13.0,medium
630,1.9634411,1.0,low
631,1.1970023,21.0,medium
632,1.7672973,43.0,medium
633,1.3233968,13.0,medium
634,1.6625867,26.0,medium
635,1.2082267,52.0,medium
636,1.7902973,1.0,low
637,0.58312565,15.0,medium
638,1.3606687,63.0,medium
639,1.7377268,1.0,low
640,1.334193,15.0,medium
641,1.3781883,8.0,low
642,1.0906451,27.0,medium
643,1.9942683,1.0,low
644,1.3938426,90.0,medium
645,2.6238463,334.0,high
646,1.4834971,52.0,medium
647,1.390781,6.0,low
648,1.157189,8.0,low
